Splits	Weights	BYRD_R_Dem	INOUYE_D_Dem	KENNEDY_E_Dem	HOLLINGS_E_Dem	STEVENS_T_Rep	SARBANES_P_Dem	BREAUX_J_Dem	COCHRAN_W_Rep	LOTT_C_Rep	BIDEN_J_Dem	DOMENICI_P_Rep	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	LUGAR_R_Rep	DASCHLE_T_Dem	NELSON_C_Dem	SNOWE_O_Rep	LEVIN_C_Dem	WARNER_J_Rep	CRAIG_L_Rep	DORGAN_B_Dem	GREGG_J_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	NICKLES_D_Rep	SPECTER_A_Rep	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	CARPER_T_Dem	DeWINE_M_Rep	DURBIN_R_Dem	McCAIN_J_Rep	REID_H_Dem	BUNNING_J_Rep	INHOFE_J_Rep	JOHNSON_T_Dem	KYL_J_Rep	BOND_C_Rep	CONRAD_K_Dem	GRAHAM_D_Dem	THOMAS_C_Rep	BURNS_C_Rep	KOHL_H_Dem	LIEBERMAN_J_Dem	ALLARD_A_Rep	SANTORUM_R_Rep	REED_J_Dem	ALLEN_G_Rep	LINCOLN_B_Dem	CRAPO_M_Rep	TALENT_J_Rep	CHAMBLISS_S_Rep	BROWNBACK_S_Rep	ENSIGN_J_Rep	GRAHAM_L_Rep	STABENOW_D_Dem	SUNUNU_J_Rep	CANTWELL_M_Dem	DAYTON_M_Dem	NELSON_E_Dem	CORZINE_J_Dem	CLINTON_H_Dem	MURKOWSKI_L_Rep	PRYOR_M_Dem	COLEMAN_N_Rep	DOLE_E_Rep	ALEXANDER_L_Rep	CORNYN_J_Rep	FEINSTEIN_D_Dem	HUTCHISON_K_Rep	BENNETT_R_Rep	MURRAY_P_Dem	FEINGOLD_R_Dem	FRIST_W_Rep	SESSIONS_J_Rep	LANDRIEU_M_Dem	COLLINS_S_Rep	HAGEL_C_Rep	SMITH_G_Rep	ENZI_M_Rep	FITZGERALD_P_Rep	BAYH_E_Dem	EDWARDS_J_Dem	VOINOVICH_G_Rep	MILLER_Z_Dem	CHAFEE_L_Rep	JEFFORDS_J_Ind	SHELBY_R_Rep	CAMPBELL_B_Rep	BUSH_G_Rep
1	15.591277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	2.78812	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	2.40306	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	.057936	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	.022701	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	3.215714	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	.999267	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	.024599	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	.739712	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	4.322697	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
