Splits	Weights	BENTSEN_L_Dem	BURDICK_Q_Dem	BYRD_R_Dem	INOUYE_D_Dem	THURMOND_J_Rep	DOLE_R_Rep	ADAMS_B_Dem	PRYOR_D_Dem	KENNEDY_E_Dem	PELL_C_Dem	McCLURE_J_Rep	RIEGLE_D_Dem	ROTH_W_Rep	HATFIELD_M_Rep	HOLLINGS_E_Dem	CRANSTON_A_Dem	PACKWOOD_R_Rep	STEVENS_T_Rep	SARBANES_P_Dem	HEINZ_H_Rep	BREAUX_J_Dem	ARMSTRONG_W_Rep	COCHRAN_W_Rep	COHEN_W_Rep	LOTT_C_Rep	SYMMS_S_Rep	METZENBAUM_H_Dem	BIDEN_J_Dem	DOMENICI_P_Rep	HELMS_J_Rep	JOHNSTON_J_Dem	NUNN_S_Dem	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	JEFFORDS_J_Rep	KASTEN_R_Rep	PRESSLER_L_Rep	SIMON_P_Dem	WIRTH_T_Dem	BUMPERS_D_Dem	FORD_W_Dem	GARN_E_Rep	GLENN_J_Dem	LEAHY_P_Dem	GORE_A_Dem	MIKULSKI_B_Dem	FOWLER_W_Dem	CHAFEE_J_Rep	DANFORTH_J_Rep	DeCONCINI_D_Dem	HATCH_O_Rep	LUGAR_R_Rep	MOYNIHAN_D_Dem	SASSER_J_Dem	WALLOP_M_Rep	DASCHLE_T_Dem	GRAMM_W_Rep	SHELBY_R_Dem	BOREN_D_Dem	BOSCHWITZ_R_Rep	BRADLEY_W_Dem	DURENBERGER_D_Rep	EXON_J_Dem	HEFLIN_H_Dem	HUMPHREY_G_Rep	KASSEBAUM_N_Rep	LEVIN_C_Dem	SIMPSON_A_Rep	WARNER_J_Rep	MITCHELL_G_Dem	COATS_D_Rep	DAMATO_A_Rep	DIXON_A_Dem	GORTON_T_Rep	MURKOWSKI_F_Rep	NICKLES_D_Rep	RUDMAN_W_Rep	SPECTER_A_Rep	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	WILSON_P_Rep	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	MACK_C_Rep	McCAIN_J_Rep	REID_H_Dem	BOND_C_Rep	CONRAD_K_Dem	GRAHAM_D_Dem	SANFORD__Dem	BRYAN_R_Dem	BURNS_C_Rep	KERREY_J_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	ROBB_C_Dem	BUSH_G_Rep
1	54.898117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	.205502	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	6.641379	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	37.247417	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	64.694542	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	5.858772	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0
7	11.753786	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0
8	3.313456	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
9	103.766197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
10	2.956559	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0
